"Gene",,"Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1138",,"","hypothetical protein","45","102","84","465","34.883720930232556","82.01058201058201","2.4422268907563027","6.479226123172049e-05","0.5084896661465423","0.0016509404745017608","41","12","32","0.0004308570423745555","0.011507789735333064"
"rsmA_2~~~erm",,"rsmA_2;erm","Ribosomal RNA small subunit methyltransferase A;rRNA adenine N-6-methyltransferase","98","323","31","244","75.96899224806202","43.03350970017637","2.388095475881354","5.936662928944217e-05","0.46590930666354213","0.0015176198914121893","56","37","26","0.022241389472860106","0.6888797607233398"
"group_322",,"","hypothetical protein","44","305","85","262","34.10852713178294","46.20811287477954","0.44466730954676953","5.857354674837791e-05","0.45968519488126985","0.0015022391989583982","43","28","21","0.06599403445579806","0.9999999999999998"
"group_253",,"","hypothetical protein","70","198","59","369","54.263565891472865","65.07936507936508","2.211093990755008","5.845040340835276e-05","0.4587187659487525","0.0015022391989583982","38","13","29","0.0016580525261815653","0.07295138851623055"
"albC~~~btuD_6",,"albC;btuD_6","Putative ABC transporter ATP-binding protein AlbC;Vitamin B12 import ATP-binding protein BtuD","71","201","58","366","55.03875968992248","64.55026455026454","2.229027277406073","5.725156313033121e-05","0.44931026744683933","0.0014779943008119715","40","21","22","0.6358280026288411","0.8746293123804209"
"hin_2~~~hin~~~hin_1",,"hin_2;hin;;hin_1","DNA-invertase hin;hypothetical protein","115","415","14","152","89.14728682170544","26.807760141093475","3.008605851979346","5.646276084214571e-05","0.4431197470891595","0.00146244140953518","37","25","13","0.047031027439515996","0.09887174959294497"
"group_1195",,"","hypothetical protein","19","24","110","543","14.728682170542637","95.76719576719577","3.9079545454545452","5.3786006645543094e-05","0.4221125801542222","0.0013977237753451067","19","11","13","0.16706848144531244","0.6476058959960938"
"group_2287",,"","hypothetical protein","56","141","73","426","43.41085271317829","75.13227513227513","2.3176916350918098","5.26343594118048e-05","0.41307445266384407","0.0013723403742984853","38","13","32","2.43425602093339e-05","0.07295138851623055"
"COQ5_1~~~COQ5",,";COQ5_1;COQ5","hypothetical protein;2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial","100","332","29","235","77.51937984496125","41.44620811287478","2.4407976734524306","5.180360153835932e-05","0.4065546648730439","0.0013551822162434799","51","33","26","0.04887389231827032","1.0"
"satA",,"satA","Streptothricin acetyltransferase A","100","331","29","236","77.51937984496125","41.622574955908284","2.458589436399625","5.1588360260393574e-05","0.40486545132356877","0.0013540650545938754","54","37","25","0.009073340339587177","0.6834892282353376"
"group_2034",,"","hypothetical protein","55","138","74","429","42.63565891472868","75.66137566137566","2.3105170387779084","5.020298271156084e-05","0.39399300832032946","0.0013221241889943942","37","12","31","4.1257590055465685e-05","0.047031027439515996"
"group_1454",,"","hypothetical protein","55","138","74","429","42.63565891472868","75.66137566137566","2.3105170387779084","5.020298271156084e-05","0.39399300832032946","0.0013221241889943942","37","12","31","4.1257590055465685e-05","0.047031027439515996"
"group_1207",,"","hypothetical protein","55","138","74","429","42.63565891472868","75.66137566137566","2.3105170387779084","5.020298271156084e-05","0.39399300832032946","0.0013221241889943942","37","12","31","4.1257590055465685e-05","0.047031027439515996"
"group_1157",,"","hypothetical protein","55","138","74","429","42.63565891472868","75.66137566137566","2.3105170387779084","5.020298271156084e-05","0.39399300832032946","0.0013221241889943942","37","12","31","4.1257590055465685e-05","0.047031027439515996"
"group_1097",,"","hypothetical protein","55","138","74","429","42.63565891472868","75.66137566137566","2.3105170387779084","5.020298271156084e-05","0.39399300832032946","0.0013221241889943942","37","12","31","4.1257590055465685e-05","0.047031027439515996"
"group_2355",,"","hypothetical protein","63","168","66","399","48.837209302325576","70.37037037037037","2.2670454545454546","4.7860044444456734e-05","0.37560562880009646","0.0012819304737204658","50","24","33","0.03283913756426849","0.8877248273407826"
"hsdR_1~~~hsdR_3~~~hsdR_2~~~hsdR",,"hsdR_1;hsdR_3;hsdR_2;hsdR","Type-1 restriction enzyme R protein","76","220","53","347","58.91472868217055","61.19929453262787","2.2617495711835334","4.6295618426408685e-05","0.36332801341045534","0.0012442740185289567","44","19","27","0.17417114727072655","0.4513808323961254"
"group_1467",,"","hypothetical protein","63","167","66","400","48.837209302325576","70.54673721340387","2.286336418072945","4.5523989239746784e-05","0.35727226755353275","0.0012277397510430678","32","10","24","0.0070003666914999485","0.05010245973244311"
"group_1792",,"","hypothetical protein;ISNCY family transposase ISBli29","114","406","15","161","88.37209302325581","28.39506172839506","3.013793103448276","4.4512689521034355e-05","0.3493355873610776","0.0012046054736588882","38","27","13","0.013852965261321508","0.07295138851623055"
"group_1524",,"","hypothetical protein","13","149","116","418","10.077519379844961","73.72134038800705","0.3143948160148114","4.397081046415622e-05","0.34508292052269807","0.0011940585485214466","39","11","32","7.025478407740594e-05","0.009475304279476411"
"group_5",,"","IS256 family transposase IS1542;IS256 family transposase IS256","48","111","81","456","37.2093023255814","80.42328042328042","2.4344344344344346","3.983803457588696e-05","0.3126488953515609","0.0010855864421929198","59","31","36","0.11747735024505852","0.7948436539828605"
"tagE~~~gtfA_2~~~tarM~~~gtfA_3",,"tagE;;gtfA_2;tarM;gtfA_3","Poly(glycerol-phosphate) alpha-glucosyltransferase;hypothetical protein;UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit;Poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase","42","298","87","269","32.55813953488372","47.44268077601411","0.43577875491784307","3.93536046045504e-05","0.3088470889365115","0.0010761222611028276","48","31","21","0.059463375253770344","0.47087901362171153"
"group_2291",,"","hypothetical protein","14","12","115","555","10.852713178294573","97.88359788359789","5.630434782608695","3.8130617379681973e-05","0.2992490851957441","0.001046325472712392","18","11","8","0.48068237304687483","0.8145294189453123"
"tagF_2~~~tagF_3~~~tagF_4~~~tagF_5~~~tagF_1~~~tagF_6",,"tagF_2;;tagF_3;tagF_4;tagF_5;tagF_1;tagF_6","Teichoic acid poly(glycerol phosphate) polymerase;hypothetical protein","41","294","88","273","31.782945736434108","48.148148148148145","0.43262987012987014","3.80355778441484e-05","0.29850321492087667","0.001046325472712392","45","31","18","0.01609436003127483","0.23269319190831067"
"group_1461",,"","hypothetical protein","89","277","40","290","68.9922480620155","51.14638447971781","2.32942238267148","3.6829749349750344e-05","0.2890398728968407","0.0010177460313269039","43","24","24","0.5423840118564844","0.5423840118564844"
