"Gene",,"Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"dnaC_3~~~dnaC_2",,";dnaC_3;dnaC_2","hypothetical protein;DNA replication protein DnaC","65","136","64","431","50.3875968992248","76.01410934744268","3.2186351102941178","1.1502226348261848e-08","9.026947238115898e-05","8.206315671014453e-07","32","13","21","0.11018416518345472","0.37708558747544885"
"hin_1",,";hin_1","hypothetical protein;DNA-invertase hin","58","96","71","471","44.96124031007752","83.06878306878306","4.007922535211268","1.1162706459713764e-10","8.760492029583362e-07","2.6546945544192005e-08","11","4","8","0.22656250000000003","0.548828125"
"bin3",,"bin3;","Putative transposon Tn552 DNA-invertase bin3;hypothetical protein","84","210","45","357","65.11627906976744","62.96296296296296","3.1733333333333333","1.1088406035048687e-08","8.70218105630621e-05","7.983652345235055e-07","37","23","20","0.18774155899882303","0.7428293587290689"
"group_1651",,"","hypothetical protein","63","121","66","446","48.837209302325576","78.65961199294532","3.5184072126220887","1.0728481665700406e-09","8.419712411241678e-06","1.1078568962160102e-07","26","11","17","0.16863754391670224","0.5571970939636235"
"group_538",,"","hypothetical protein","63","121","66","446","48.837209302325576","78.65961199294532","3.5184072126220887","1.0728481665700406e-09","8.419712411241678e-06","1.1078568962160102e-07","27","11","18","0.12207812070846553","0.44206833839416504"
"group_1514",,"","hypothetical protein","47","70","82","497","36.434108527131784","87.65432098765432","4.069512195121951","1.043046798637595e-09","8.185831275707846e-06","1.1061934156361953e-07","13","8","8","0.5810546875","0.5810546875"
"group_616",,"","hypothetical protein","74","169","55","398","57.36434108527132","70.19400352733686","3.1685852608929532","1.0412752744270257e-08","8.171928353703299e-05","7.566600327503054e-07","32","12","23","0.020061607006937265","0.2153271497227251"
"group_2659",,"","hypothetical protein","63","113","66","454","48.837209302325576","80.0705467372134","3.835076427996782","1.0405769477960524e-10","8.166447886303419e-07","2.5520149644698184e-08","13","9","4","0.26684570312499983","0.26684570312499983"
"group_1831",,"","hypothetical protein","83","206","46","361","64.34108527131784","63.66843033509701","3.161988180666948","1.0262171880505133e-08","8.053752491820429e-05","7.526871487682644e-07","37","23","20","0.18774155899882303","0.7428293587290689"
"rhlB~~~srmB",,";rhlB;srmB","hypothetical protein;ATP-dependent RNA helicase RhlB;ATP-dependent RNA helicase SrmB","71","126","58","441","55.03875968992248","77.77777777777779","4.2844827586206895","9.670135502940217e-13","7.589122342707483e-09","1.5178244685414964e-09","20","11","13","0.2631759643554687","0.8238029479980463"
"group_1741",,"","hypothetical protein","61","106","68","461","47.286821705426355","81.30511463844798","3.9013596004439512","9.51051206989245e-11","7.463849872451594e-07","2.4076935072424497e-08","8","5","6","0.2890624999999999","0.7265625000000002"
"group_1273",,"","hypothetical protein","63","120","66","447","48.837209302325576","78.83597883597884","3.555681818181818","8.897829324475739e-10","6.98301645384856e-06","9.56577596417611e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_421",,"","hypothetical protein","63","120","66","447","48.837209302325576","78.83597883597884","3.555681818181818","8.897829324475739e-10","6.98301645384856e-06","9.56577596417611e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_1459",,"comGA","ComG operon protein 1","59","106","70","461","45.73643410852713","81.30511463844798","3.665633423180593","8.491624495144679e-10","6.664226903789544e-06","9.386235075759922e-08","20","6","15","0.04138946533203125","0.11531829833984371"
"group_720",,"","hypothetical protein","57","93","72","474","44.18604651162791","83.5978835978836","4.03494623655914","8.351103057623787e-11","6.553945679623148e-07","2.1846485598743825e-08","20","14","10","0.11531829833984371","1.0"
"group_2305",,"","hypothetical protein","64","131","65","436","49.6124031007752","76.89594356261023","3.2770405167351733","8.107741914280834e-09","6.362955854327599e-05","6.002788541818489e-07","33","14","22","0.08014331245794892","0.4868502416647969"
"group_1258",,"","hypothetical protein","66","139","63","428","51.162790697674424","75.48500881834215","3.225762247344981","8.100744229096242e-09","6.357464070994731e-05","6.002788541818489e-07","33","14","22","0.08014331245794892","0.4868502416647969"
"group_2404",,"","hypothetical protein","61","105","68","462","47.286821705426355","81.48148148148148","3.947058823529412","7.91016855116765e-11","6.207900278956372e-07","2.1406552686056454e-08","23","10","15","0.21003961563110343","0.6776394844055175"
"group_707",,"","hypothetical protein","63","119","66","448","48.837209302325576","79.01234567901234","3.593582887700535","7.714521917686621e-10","6.05435680100046e-06","8.649081144286372e-08","28","10","20","0.035698138177394874","0.18493334203958517"
"group_17",,"","hypothetical protein","55","93","74","474","42.63565891472868","83.5978835978836","3.7881429816913688","7.687890401615189e-10","6.0334563871876e-06","8.649081144286372e-08","9","5","6","0.5078125","1.0"
"group_1410",,"","hypothetical protein","71","140","58","427","55.03875968992248","75.30864197530865","3.7336206896551722","7.450210586623361e-11","5.846925268382014e-07","2.0881875958507196e-08","38","15","25","0.07295138851623055","0.2558750795433297"
"group_2176",,"","hypothetical protein","78","142","51","425","60.46511627906976","74.95590828924162","4.577464788732394","7.153659327064984e-14","5.614191839880599e-10","2.8070959199402996e-10","28","16","16","0.571588188409805","0.571588188409805"
"group_1780",,"","hypothetical protein","63","118","66","449","48.837209302325576","79.18871252204586","3.6321263482280433","7.077013193280204e-10","5.554039954086305e-06","8.167705814832801e-08","27","12","17","0.24778856337070485","0.7011080384254457"
"sdrD~~~sdrD_2~~~sdrD_1",,";sdrD;sdrD_2;sdrD_1","hypothetical protein;Serine-aspartate repeat-containing protein D","59","112","70","455","45.73643410852713","80.24691358024691","3.424107142857143","6.419054308810234e-09","5.037673821554272e-05","4.843917136109877e-07","28","8","23","0.0009122341871261592","0.035698138177394874"
"ybdM",,"ybdM","putative protein YbdM","56","96","73","471","43.41085271317829","83.06878306878306","3.7636986301369864","6.298162955480082e-10","4.942798287460769e-06","7.377310876807118e-08","11","3","9","0.06542968749999997","0.22656250000000003"
"group_2200",,"","hypothetical protein","77","139","52","428","59.68992248062015","75.48500881834215","4.559490868843387","6.287801402548898e-14","4.934666540720375e-10","2.8070959199402996e-10","27","15","17","0.24778856337070485","0.7011080384254457"
"group_1301",,"","hypothetical protein","61","119","68","448","47.286821705426355","79.01234567901234","3.3771626297577853","6.056206641916836e-09","4.752910972576333e-05","4.614476672404207e-07","26","10","18","0.0755186975002289","0.32693958282470703"
"group_139",,"","hypothetical protein","68","448","61","119","52.71317829457365","20.98765432098765","0.29610655737704916","6.056206641916836e-09","4.752910972576333e-05","4.614476672404207e-07","29","24","6","0.0005461126565933226","0.0023157000541687"
"group_2624",,"","hypothetical protein","59","97","70","470","45.73643410852713","82.89241622574956","4.083946980854197","5.944415094188819e-11","4.6651769659193847e-07","1.7278433207108833e-08","19","8","11","0.6476058959960938","0.6476058959960938"
"glpE_2",,"glpE_2","Thiosulfate sulfurtransferase GlpE","59","97","70","470","45.73643410852713","82.89241622574956","4.083946980854197","5.944415094188819e-11","4.6651769659193847e-07","1.7278433207108833e-08","9","6","4","0.5078125","1.0"
"dsrE2~~~glpE_3",,"dsrE2;;glpE_3","Sulfur carrier protein DsrE2;hypothetical protein;Thiosulfate sulfurtransferase GlpE","59","97","70","470","45.73643410852713","82.89241622574956","4.083946980854197","5.944415094188819e-11","4.6651769659193847e-07","1.7278433207108833e-08","9","6","4","0.5078125","1.0"
"group_1437",,"","hypothetical protein","71","156","58","411","55.03875968992248","72.4867724867725","3.225132625994695","5.856679529419578e-09","4.5963220946884846e-05","4.5508139551371135e-07","22","12","16","0.052478790283203125","0.831811904907225"
"mecI",,"mecI","Methicillin resistance regulatory protein MecI","63","98","66","469","48.837209302325576","82.71604938271605","4.568181818181818","5.779274157530682e-13","4.535574358830079e-09","1.1338935897075197e-09","15","12","5","0.035156250000000014","0.30175781250000017"
"group_1824",,"","hypothetical protein","65","134","64","433","50.3875968992248","76.3668430335097","3.2818330223880596","5.717078164763305e-09","4.486762943706242e-05","4.4867629437062416e-07","30","12","21","0.04277394525706768","0.361594608053565"
"group_1742",,"","hypothetical protein","65","134","64","433","50.3875968992248","76.3668430335097","3.2818330223880596","5.717078164763305e-09","4.486762943706242e-05","4.4867629437062416e-07","33","12","23","0.035082033369690194","0.16275565745309006"
"mecR1~~~mecR1_2~~~mecR1_1",,"mecR1;mecR1_2;mecR1_1","beta-lactam sensor/signal transducer MecR1;Methicillin resistance mecR1 protein","78","156","51","411","60.46511627906976","72.4867724867725","4.029411764705882","5.586639794926375e-12","4.384394911058219e-08","3.3726114700447837e-09","23","16","12","0.09313964843749999","0.9999999999999998"
"group_2228",,"","hypothetical protein","64","122","65","445","49.6124031007752","78.48324514991182","3.591424968474149","5.51694952849636e-10","4.3297019899639435e-06","6.560154530248399e-08","28","12","19","0.08715855330228804","0.571588188409805"
"group_1827",,"","hypothetical protein","64","122","65","445","49.6124031007752","78.48324514991182","3.591424968474149","5.51694952849636e-10","4.3297019899639435e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_1372",,"","hypothetical protein","64","122","65","445","49.6124031007752","78.48324514991182","3.591424968474149","5.51694952849636e-10","4.3297019899639435e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_1336",,"","hypothetical protein","64","122","65","445","49.6124031007752","78.48324514991182","3.591424968474149","5.51694952849636e-10","4.3297019899639435e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_1335",,"","hypothetical protein","64","122","65","445","49.6124031007752","78.48324514991182","3.591424968474149","5.51694952849636e-10","4.3297019899639435e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_1227",,"","hypothetical protein","64","122","65","445","49.6124031007752","78.48324514991182","3.591424968474149","5.51694952849636e-10","4.3297019899639435e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_1148",,"","hypothetical protein","64","122","65","445","49.6124031007752","78.48324514991182","3.591424968474149","5.51694952849636e-10","4.3297019899639435e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_794",,"","hypothetical protein","64","122","65","445","49.6124031007752","78.48324514991182","3.591424968474149","5.51694952849636e-10","4.3297019899639435e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_539",,"","hypothetical protein","64","122","65","445","49.6124031007752","78.48324514991182","3.591424968474149","5.51694952849636e-10","4.3297019899639435e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_2261",,"","hypothetical protein","33","37","96","530","25.581395348837212","93.47442680776014","4.923986486486487","5.408884657707438e-09","4.244892679368797e-05","4.331523142213058e-07","10","5","7","0.3437499999999999","1.0"
"lexA_1~~~lexA_3~~~lexA_2",,"lexA_1;lexA_3;lexA_2","LexA repressor","52","90","77","477","40.310077519379846","84.12698412698413","3.5792207792207793","5.365256075656738e-09","4.210652968175408e-05","4.331523142213058e-07","28","13","21","0.012540951371192932","0.8505540192127226"
"group_696",,"","hypothetical protein","57","91","72","476","44.18604651162791","83.9506172839506","4.141025641025641","5.2629418265448666e-11","4.130356745472411e-07","1.7209819772801715e-08","6","4","4","0.6875000000000002","0.6875000000000002"
"group_2358",,"","hypothetical protein","47","67","82","500","36.434108527131784","88.18342151675485","4.277393520203859","5.219151470895219e-10","4.095990074358568e-06","6.560154530248399e-08","13","9","7","0.26684570312499983","0.9999999999999999"
"group_242",,"","hypothetical protein","49","74","80","493","37.98449612403101","86.94885361552028","4.080574324324324","5.063265382629716e-10","3.973650672287801e-06","6.560154530248399e-08","15","9","8","0.6072387695312501","0.9999999999999997"
"group_1391",,"","hypothetical protein","62","123","67","444","48.06201550387597","78.3068783068783","3.340371314160903","4.981464032488276e-09","3.9094529726967995e-05","4.072346846559166e-07","27","8","21","0.005924612283706666","0.05223898589611053"
"group_655",,"","hypothetical protein","74","158","55","409","57.36434108527132","72.13403880070547","3.4828538550057537","4.981121102159793e-10","3.909183840975006e-06","6.560154530248399e-08","38","17","25","0.07295138851623055","0.6271025701571481"
"group_602",,"","hypothetical protein","56","82","73","485","43.41085271317829","85.5379188712522","4.537253591713999","4.854896161855825e-12","3.810122507824452e-08","3.1751020898537097e-09","5","3","3","1.0","1.0"
"group_2506",,"","hypothetical protein","64","121","65","446","49.6124031007752","78.65961199294532","3.6292434837889385","4.664424331309166e-10","3.660640215211434e-06","6.560154530248399e-08","27","12","17","0.24778856337070485","0.7011080384254457"
"group_1497",,"","hypothetical protein","64","121","65","446","49.6124031007752","78.65961199294532","3.6292434837889385","4.664424331309166e-10","3.660640215211434e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"group_1020",,"","hypothetical protein","64","121","65","446","49.6124031007752","78.65961199294532","3.6292434837889385","4.664424331309166e-10","3.660640215211434e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"clpP_1~~~clpP_2",,"clpP_1;clpP_2","ATP-dependent Clp protease proteolytic subunit","64","121","65","446","49.6124031007752","78.65961199294532","3.6292434837889385","4.664424331309166e-10","3.660640215211434e-06","6.560154530248399e-08","26","11","17","0.16863754391670224","0.5571970939636235"
"nanK~~~nagC",,"nanK;;nagC","N-acetylmannosamine kinase;hypothetical protein;N-acetylglucosamine repressor","57","90","72","477","44.18604651162791","84.12698412698413","4.195833333333334","4.5805108079578066e-11","3.5947848820852867e-07","1.5629499487327334e-08","9","6","5","0.5078125","1.0"
"hsdM",,";hsdM","hypothetical protein;Type I restriction enzyme EcoKI M protein","85","193","44","374","65.89147286821705","65.96119929453262","3.743523316062176","4.575662784025002e-11","3.5909801529028214e-07","1.5629499487327334e-08","33","19","19","0.4868502416647969","0.4868502416647969"
"group_2175",,"","hypothetical protein","65","132","64","435","50.3875968992248","76.71957671957672","3.346946022727273","4.5115158539884e-09","3.540637642210096e-05","3.726986991800101e-07","32","11","22","0.05010245973244311","0.11018416518345472"
"pgl",,"pgl;","6-phosphogluconolactonase;hypothetical protein;Hydrazine synthase subunit beta","70","151","59","416","54.263565891472865","73.36860670194002","3.2686047816814456","4.401746762920525e-09","3.454490859540028e-05","3.674990276106413e-07","24","12","16","0.15158963203430173","1.0"
"cobB_2",,"cobB_2","NAD-dependent protein deacetylase","58","82","71","485","44.96124031007752","85.5379188712522","4.8316729646169705","4.2687097403444696e-13","3.3500834042223396e-09","1.1166944680741133e-09","6","5","3","0.21875000000000003","1.0"
"group_868",,"","hypothetical protein","53","73","76","494","41.08527131782946","87.12522045855378","4.719178082191781","4.218055902607221e-12","3.3103302723661466e-08","3.009391156696497e-09","9","6","4","0.5078125","1.0"
"group_1722",,"","hypothetical protein","60","100","69","467","46.51162790697674","82.36331569664902","4.060869565217391","4.121817812330721e-11","3.2348026191171495e-07","1.540382199579595e-08","22","8","14","0.2862787246704102","0.2862787246704102"
"group_869",,"","hypothetical protein","56","94","73","473","43.41085271317829","83.42151675485009","3.8600990964733315","4.023641453419825e-10","3.1577538126438787e-06","6.315507625287758e-08","11","3","9","0.06542968749999997","0.22656250000000003"
"group_334",,"","hypothetical protein","56","81","73","486","43.41085271317829","85.71428571428571","4.602739726027397","3.657379436133887e-12","2.8703113814778745e-08","2.8703113814778745e-09","4","3","2","0.625","1.0"
"group_96",,"","hypothetical protein","63","117","66","450","48.837209302325576","79.36507936507937","3.6713286713286712","3.4388454767249776e-10","2.6988059301337626e-06","5.5077672043546176e-08","28","10","20","0.035698138177394874","0.18493334203958517"
"group_159",,"","hypothetical protein","67","116","62","451","51.93798449612403","79.54144620811287","4.201473859844271","3.3103335319432455e-12","2.597949755869059e-08","2.8703113814778745e-09","11","7","6","0.548828125","0.9999999999999997"
"group_2415",,"","hypothetical protein","69","146","60","421","53.48837209302325","74.25044091710758","3.316095890410959","3.239053190014091e-09","2.5420089435230584e-05","2.733342950024794e-07","34","15","20","0.39152830513194264","0.60759136127308"
"group_1911",,"","hypothetical protein","66","135","63","432","51.162790697674424","76.19047619047619","3.3523809523809525","3.049687655576127e-09","2.3933948720961447e-05","2.6015161653218963e-07","31","13","20","0.1496127843856811","0.4731296598911284"
"group_1428",,"","hypothetical protein","66","135","63","432","51.162790697674424","76.19047619047619","3.3523809523809525","3.049687655576127e-09","2.3933948720961447e-05","2.6015161653218963e-07","31","13","20","0.1496127843856811","0.4731296598911284"
"group_185",,"","hypothetical protein","59","103","70","464","45.73643410852713","81.83421516754849","3.7969486823855756","2.98094171330891e-10","2.3394430566048327e-06","4.873839701260068e-08","21","5","17","0.0071973800659179705","0.026603698730468753"
"group_1500",,"","hypothetical protein","46","70","83","497","35.65891472868217","87.65432098765432","3.9349397590361446","2.7951099629464208e-09","2.193602298920351e-05","2.437335887689279e-07","18","10","11","0.48068237304687483","0.8145294189453123"
"group_1242",,"","hypothetical protein","57","96","72","471","44.18604651162791","83.06878306878306","3.8841145833333335","2.534756690578113e-10","1.989277050765703e-06","4.232504363331283e-08","12","4","9","0.14599609375000003","0.3876953125000001"
"group_1228",,"","hypothetical protein","63","108","66","459","48.837209302325576","80.95238095238095","4.056818181818182","2.440556026130211e-11","1.9153483693069896e-07","9.576741846534949e-09","26","13","14","0.8450189828872682","1.0"
"group_1313",,"","hypothetical protein","57","83","72","484","44.18604651162791","85.3615520282187","4.616465863453815","2.3431127057508674e-12","1.838874851473281e-08","2.298593564341601e-09","10","5","5","1.0","1.0"
"group_1048",,"","hypothetical protein","63","123","66","444","48.837209302325576","78.3068783068783","3.4456762749445677","2.251800635552116e-09","1.7672131387813006e-05","1.9856327402037087e-07","26","10","18","0.0755186975002289","0.32693958282470703"
"group_1988",,"","hypothetical protein","71","151","58","416","55.03875968992248","73.36860670194002","3.372459465631423","2.234670644461728e-09","1.753769521773564e-05","1.9856327402037087e-07","26","14","16","0.32693958282470703","0.8450189828872682"
"group_1821",,"","hypothetical protein","59","101","70","466","45.73643410852713","82.18694885361552","3.888826025459689","2.221131483871513e-10","1.7431439885423632e-06","3.7894434533529637e-08","19","7","13","0.16706848144531244","0.3592834472656249"
"IntTn~~~xerC_5~~~IntTn_1~~~xerC_3",,";Int-Tn;xerC_5;Int-Tn_1;xerC_3","hypothetical protein;Transposase from transposon Tn916;Tyrosine recombinase XerC","59","101","70","466","45.73643410852713","82.18694885361552","3.888826025459689","2.221131483871513e-10","1.7431439885423632e-06","3.7894434533529637e-08","24","10","15","0.3074562549591064","0.5412561893463136"
"group_1766",,"","hypothetical protein","61","115","68","452","47.286821705426355","79.71781305114638","3.5258312020460356","2.1598175923459056e-09","1.6950248464730668e-05","1.9483044212334101e-07","29","10","21","0.024119544774293886","0.13604594767093656"
"group_1731",,"","hypothetical protein","73","135","56","432","56.58914728682171","76.19047619047619","4.171428571428572","2.1307203611681357e-12","1.672189339444753e-08","2.298593564341601e-09","30","17","20","0.09873714670538908","0.5846647117286928"
"group_1079",,"","hypothetical protein","79","165","50","402","61.240310077519375","70.8994708994709","3.8494545454545452","2.1227960633474926e-11","1.665970350515112e-07","8.768265002711117e-09","33","16","20","0.29620636859908717","0.9999999999999999"
"group_1306",,"","hypothetical protein","57","95","72","472","44.18604651162791","83.24514991181657","3.933333333333333","2.113197919039408e-10","1.6584377268621274e-06","3.76917665195938e-08","15","6","10","0.30175781250000017","0.6072387695312501"
"cysH",,"cysH;","Phosphoadenosine phosphosulfate reductase;hypothetical protein","57","95","72","472","44.18604651162791","83.24514991181657","3.933333333333333","2.113197919039408e-10","1.6584377268621274e-06","3.76917665195938e-08","13","5","9","0.26684570312499983","0.5810546875"
"group_2341",,"","hypothetical protein","78","162","51","405","60.46511627906976","71.42857142857143","3.823529411764706","2.110256957580631e-11","1.656129660309279e-07","8.768265002711117e-09","32","15","24","0.0070003666914999485","0.8600500659085804"
"group_1248",,"","hypothetical protein","58","99","71","468","44.96124031007752","82.53968253968253","3.8617157490396927","2.077210455560451e-10","1.630194765523842e-06","3.76917665195938e-08","8","5","5","0.7265625000000002","0.7265625000000002"
"group_607",,"","hypothetical protein","62","112","67","455","48.06201550387597","80.24691358024691","3.7593283582089554","2.0676343384379076e-10","1.6226794288060699e-06","3.76917665195938e-08","12","7","6","0.7744140625000003","1.0"
"group_2530",,"","hypothetical protein","63","122","66","445","48.837209302325576","78.48324514991182","3.4817436661698955","2.0269091355795765e-09","1.5907182896028518e-05","1.849672429770758e-07","25","10","17","0.10775214433670036","0.4243562221527101"
"group_1629",,"","hypothetical protein","63","122","66","445","48.837209302325576","78.48324514991182","3.4817436661698955","2.0269091355795765e-09","1.5907182896028518e-05","1.849672429770758e-07","25","10","17","0.10775214433670036","0.4243562221527101"
"sigA_1~~~sigA_2~~~rpoD",,";sigA_1;sigA_2;rpoD","hypothetical protein;RNA polymerase sigma factor SigA;RNA polymerase sigma factor RpoD","69","120","60","447","53.48837209302325","78.83597883597884","4.28375","2.002019479674353e-12","1.5711848876484322e-08","2.298593564341601e-09","23","12","14","0.4048728942871095","0.9999999999999998"
"group_1489",,";entS","hypothetical protein;Enterobactin exporter EntS","70","148","59","419","54.263565891472865","73.89770723104057","3.358909757214842","1.958957446625258e-09","1.5373898041115023e-05","1.830225957275598e-07","23","14","15","0.21003961563110343","0.4048728942871095"
"glpT_2~~~glpT_1",,";glpT_2;glpT_1","hypothetical protein;Glycerol-3-phosphate transporter","58","106","71","461","44.96124031007752","81.30511463844798","3.5527504650544777","1.9389939007061332e-09","1.5217224132741733e-05","1.830225957275598e-07","6","3","5","0.21875000000000003","1.0"
"group_397",,"","hypothetical protein","57","94","72","473","44.18604651162791","83.42151675485009","3.9835992907801416","1.8810028093721795e-10","1.4762110047952865e-06","3.6905275119882165e-08","12","4","9","0.14599609375000003","0.3876953125000001"
"group_1496",,"","hypothetical protein","62","119","67","448","48.06201550387597","79.01234567901234","3.4837576821773486","1.701020588701922e-09","1.3349609580132684e-05","1.6280011683088638e-07","27","11","18","0.12207812070846553","0.44206833839416504"
"group_697",,"","hypothetical protein","62","119","67","448","48.06201550387597","79.01234567901234","3.4837576821773486","1.701020588701922e-09","1.3349609580132684e-05","1.6280011683088638e-07","26","11","18","0.0755186975002289","0.5571970939636235"
"group_502",,"","hypothetical protein","56","92","73","475","43.41085271317829","83.77425044091711","3.960690887432996","1.68049492928072e-10","1.318852420499509e-06","3.381672873075664e-08","4","2","4","0.125","1.0"
"group_2296",,"","hypothetical protein","56","84","73","483","43.41085271317829","85.18518518518519","4.410958904109589","1.649837187201807e-11","1.2947922245159782e-07","7.616424850093988e-09","5","3","3","1.0","1.0"
"group_812",,"","hypothetical protein","56","84","73","483","43.41085271317829","85.18518518518519","4.410958904109589","1.649837187201807e-11","1.2947922245159782e-07","7.616424850093988e-09","6","4","3","0.6875000000000002","1.0"
"group_414",,"","hypothetical protein","58","98","71","469","44.96124031007752","82.71604938271605","3.909456740442656","1.6135923421594143e-10","1.2663472701267083e-06","3.332492816122917e-08","8","5","5","0.7265625000000002","0.7265625000000002"
"group_1804",,"","hypothetical protein","37","35","92","532","28.68217054263566","93.82716049382715","6.113043478260869","1.603275055236607e-11","1.258250263349689e-07","7.616424850093988e-09","16","8","9","0.8036193847656252","1.0"
"group_19",,"","hypothetical protein","71","142","58","425","55.03875968992248","74.95590828924162","3.663793103448276","1.6008080467627284e-10","1.2563141550993893e-06","3.332492816122917e-08","13","7","9","0.26684570312499983","0.9999999999999999"
"group_2220",,"","hypothetical protein","76","169","53","398","58.91472868217055","70.19400352733686","3.3770235569945295","1.5742820886937727e-09","1.2354965832068728e-05","1.544370729008591e-07","33","14","22","0.08014331245794892","0.4868502416647969"
"group_601",,"","hypothetical protein","60","104","69","463","46.51162790697674","81.65784832451499","3.87123745819398","1.5328600622282274e-10","1.202988576836713e-06","3.332492816122917e-08","22","9","15","0.13380050659179688","0.5234670639038081"
"group_2675",,"","hypothetical protein","55","87","74","480","42.63565891472868","84.65608465608466","4.100652376514446","1.4464363010185956e-10","1.1351632090393938e-06","3.243323454398268e-08","6","2","5","0.21875000000000003","0.6875000000000002"
"group_2673",,"","hypothetical protein","62","118","67","449","48.06201550387597","79.18871252204586","3.5211231975714647","1.4423632107644224e-09","1.1319666478079187e-05","1.4328691744404034e-07","17","9","9","0.9999999999999998","0.9999999999999998"
"group_2",,"","hypothetical protein","56","98","73","469","43.41085271317829","82.71604938271605","3.671232876712329","1.4383104188298186e-09","1.1287860166976416e-05","1.4328691744404034e-07","14","3","12","0.012939453124999998","0.05737304687500002"
"group_203",,"","hypothetical protein","55","82","74","485","42.63565891472868","85.5379188712522","4.396011865524061","1.3964124061786699e-11","1.0959044563690201e-07","7.616424850093988e-09","3","2","2","1.0","1.0"
"xerC_6~~~xerC_3~~~IntTn_1~~~xerC_2~~~xerC_4",,";xerC_6;xerC_3;Int-Tn_1;xerC_2;xerC_4","hypothetical protein;Tyrosine recombinase XerC;Transposase from transposon Tn916","58","104","71","463","44.96124031007752","81.65784832451499","3.6367822318526546","1.383955595228086e-09","1.0861283511350018e-05","1.410556300175327e-07","17","5","13","0.049041748046874986","0.14346313476562497"
"gloB_1~~~gloC~~~gloB_2",,";gloB_1;gloC;gloB_2","hypothetical protein;Hydroxyacylglutathione hydrolase;Hydroxyacylglutathione hydrolase GloC","58","97","71","470","44.96124031007752","82.89241622574956","3.9581820821838245","1.3041845105713025e-10","1.0235240038963582e-06","3.01036471734223e-08","9","5","5","1.0","1.0"
"smc_4~~~smc_5~~~smc_1",,"smc_4;smc_5;smc_1","Chromosome partition protein Smc","3","1","126","566","2.3255813953488373","99.82363315696648","13.476190476190476","0.021579471175944824","1.0","0.2516429268778826","4","3","1","0.625","0.625"
"pyrE_2",,"pyrE_2","Orotate phosphoribosyltransferase","6","2","123","565","4.651162790697675","99.64726631393297","13.78048780487805","0.0007402314683213857","1.0","0.014203756878694952","8","6","2","0.2890624999999999","0.2890624999999999"
"group_5027",,"","hypothetical protein","4","2","125","565","3.10077519379845","99.64726631393297","9.04","0.012480760903439104","1.0","0.1646201875129245","6","4","2","0.6875000000000002","0.6875000000000002"
"group_4849",,"","hypothetical protein","4","2","125","565","3.10077519379845","99.64726631393297","9.04","0.012480760903439104","1.0","0.1646201875129245","5","3","2","1.0","1.0"
"group_4848",,"","hypothetical protein","4","2","125","565","3.10077519379845","99.64726631393297","9.04","0.012480760903439104","1.0","0.1646201875129245","5","3","2","1.0","1.0"
"group_4847",,"","hypothetical protein","4","2","125","565","3.10077519379845","99.64726631393297","9.04","0.012480760903439104","1.0","0.1646201875129245","5","3","2","1.0","1.0"
"group_4846",,"","hypothetical protein","4","2","125","565","3.10077519379845","99.64726631393297","9.04","0.012480760903439104","1.0","0.1646201875129245","5","3","2","1.0","1.0"
"group_4845",,"","hypothetical protein","4","2","125","565","3.10077519379845","99.64726631393297","9.04","0.012480760903439104","1.0","0.1646201875129245","5","3","2","1.0","1.0"
"group_4844",,"","hypothetical protein","4","2","125","565","3.10077519379845","99.64726631393297","9.04","0.012480760903439104","1.0","0.1646201875129245","5","3","2","1.0","1.0"
"group_4843",,"","hypothetical protein","4","2","125","565","3.10077519379845","99.64726631393297","9.04","0.012480760903439104","1.0","0.1646201875129245","5","3","2","1.0","1.0"
"group_4842",,"","Putative prophage phiRv2 integrase","4","2","125","565","3.10077519379845","99.64726631393297","9.04","0.012480760903439104","1.0","0.1646201875129245","5","3","2","1.0","1.0"
"group_4833",,"","hypothetical protein","4","2","125","565","3.10077519379845","99.64726631393297","9.04","0.012480760903439104","1.0","0.1646201875129245","4","3","1","0.625","0.625"
"fadN~~~fadN_1",,"fadN;fadN_1","putative 3-hydroxyacyl-CoA dehydrogenase","3","2","126","565","2.3255813953488373","99.64726631393297","6.726190476190476","0.046661421169110526","1.0","0.3752037226794871","5","3","2","1.0","1.0"
